序号,测试用例,模型回答,结合prompt后,模型回答.1,正确选项
56,"2024年2月26日,浙江大学环境学院的周杰因研究论文中存在大量伪造数据,被科学杂志撤销论文,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2024年2月26日,浙江大学环境学院的周杰因研究论文中存在大量伪造数据,被科学杂志撤销论文,请你判断这个案件的真实性:A.真;B.假

Role: 案件真实性验证专家

Profile: 你是一名专注于打假及验证学术信息真实性的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解学术领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉验证真实性的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init: 你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 研究论文标题、作者、所属机构。
2. 科学杂志撤稿声明日期。
3. 相关媒体或官网新闻报道的真实性。
```","Question: 2024年2月26日，浙江大学环境学院的周杰因研究论文中存在大量伪造数据，被科学杂志撤销论文，请你判断这个案件的真实性：A.真；B.假

Role: 案件真实性验证专家

Profile: 你是一名专注于打假及验证学术信息真实性的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

---

为了判断该案件的真实性，可以参考以下三种最关键的提示词：

1. **研究论文标题、作者、所属机构：**
   - 确认研究论文的具体标题。
   - 核查作者是否确实为周杰，且所属机构是浙江大学环境学院。
   - 通过学术数据库（如Google Scholar、万方数据库、CNKI等）查找相关信息。

2. **科学杂志撤稿声明日期：**
   - 查证是否有科学杂志（具体杂志名称）在2024年2月26日发布关于撤销该论文的声明。
   - 搜索是否提及撤稿原因为大量伪造数据。

3. **相关媒体或官网新闻报道的真实性：**
   - 通过网络搜索引擎查询是否有主流媒体或浙江大学环境学院官网报道此事。
   - 检索是否有可靠新闻来源报道2024年2月26日发生的这一事件。

确保根据以上提示词进行核实，可以较为准确地判断案件的真实性。配合使用多个独立和可信的消息来源是有效的验证方法。",
57,"2021年10月30日,哈尔滨工业大学计算机科学与技术学院的王瑞因破坏校园网络系统,被学校信息技术中心查处,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2021年10月30日,哈尔滨工业大学计算机科学与技术学院的王瑞因破坏校园网络系统,被学校信息技术中心查处,请你判断这个案件的真实性:A.真;B.假
Role: 计算机安全与校园事件领域专家
Profile: 你是一名专注于提供计算机安全与校园事件领域信息的专家，旨在根据计算机安全和校园事件生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解计算机安全与校园事件的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计计算机安全与校园事件领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名计算机安全与校园事件领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1.案件真实性
2.学校新闻公告
3.计算机安全事件
```","根据你提供的信息，并作为计算机安全与校园事件领域的专家，我将结合你的需求和我的知识提供一些分析和提示。需要强调的是，我无权直接查阅或核实具体学校的事件记录，因此无法明确确认案件的真实性。但是，可以提供一些判断此类信息真伪的提示词。

Top-3提示词：

1. **案件真实性**：查验信息源的可靠性，使用不同渠道验证信息，如官方新闻发布、学校公告等。通常，学校官网或官方媒体会发布相关公告或报道，真实的案件应能通过多渠道佐证。

2. **学校新闻公告**：访问哈尔滨工业大学的官方网站或其计算机科学与技术学院的页面，寻找相关公告，核实是否有此事件的正式发布。

3. **计算机安全事件**：了解类似计算机安全事件的处理流程和常见特征，包括事件报告、调查过程及结果通报。如果该案件属实，通常会有明确的处理报告。

请记住，所有判断都应基于可靠的信息来源，避免误传或误信未经证实的信息。",
58,"2023年7月9日,广州中山大学天文与地球科学学院的教授何宇因发现一颗新的近地小行星,被国际天文联合会邀请分享研究成果,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2023年7月9日，广州中山大学天文与地球科学学院的教授何宇因发现一颗新的近地小行星，被国际天文联合会邀请分享研究成果，请你判断这个案件的真实性：A.真;B.假
Role: 基于田间提供有关案例事实查证的信息，包括学术研究与国际天文联合会互动的知识。
Profile: 你是一名专注于天文学领域信息的专家，旨在根据天文学领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解天文学领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉天文学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体天文学领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计天文学领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名天文学领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 具体学术发现日期与宣传发布的记录。
2. 何宇教授的近期研究成果及公开活动。
3. 国际天文联合会成员发布的会议邀请信息。
```","要判断广州中山大学天文与地球科学学院的教授何宇在2023年7月9日因发现一颗新的近地小行星而被国际天文联合会邀请分享研究成果这一案件的真实性，可以采取以下步骤和依据：

1. **具体学术发现日期与宣传发布的记录**：
   - 查阅相关学术期刊与天文学会议的记录，查找何宇教授的研究发表时间和小行星发现的具体日期。
   - 在官方网站或权威媒体上寻找7月9日左右的新闻发布或公告，确认相关声明的真实性和时间匹配。

2. **何宇教授的近期研究成果及公开活动**：
   - 搜索何宇教授近年的研究活动和公开发表的论文，核实他是否有关于近地小行星的研究成果。
   - 查看中山大学天文与地球科学学院的官方网站和公告，了解他是否有公开宣称新发现的小行星。

3. **国际天文联合会成员发布的会议邀请信息**：
   - 查阅国际天文联合会（IAU）的官方记录和会议邀请函，核实是否有邀请何宇教授分享研究成果的信息。
   - 在IAU的官方网站或官方社交媒体账户上寻找关于何宇教授的公告或会议安排。

通过以上步骤和依据，能够初步判断该案件的真实性。让我们来看一下这些信息是否吻合：

- 如果在这些来源中能找到确认何宇教授7月9日的新发现和他被邀请分享成果的证据，则案件为**A. 真**。
- 如果没有找到相关证据或信息不匹配，则案件为**B. 假**。

根据这个思路，综合确认所有信息，较能准确判断其真实性。",
59,"2022年9月22日,陕西历史博物馆馆长张伟因在展览中使用伪造的古代文物,被西安文化遗产保护中心调查,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2022年9月22日,陕西历史博物馆馆长张伟因在展览中使用伪造的古代文物,被西安文化遗产保护中心调查,请你判断这个案件的真实性:A.真;B.假
Role: 文化遗产保护领域案件分析专家
Profile: 你是一名专注于提供文化遗产保护领域信息的专家，旨在根据文化遗产保护领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解文化遗产保护领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和文化遗产保护领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计文化遗产保护领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 查询“2022年9月22日陕西历史博物馆伪造文物事件”新闻报道。
2. 查证西安文化遗产保护中心是否发布过相关调查通告。
3. 考虑公共媒体报道频率及权威度。
```","根据描述和我的知识背景，该案件涉及的事件在文化遗产保护领域具有较大影响，要判断其真实性，可以采取以下步骤和提示词进行查证：

Top-3提示词:
1. **查询“2022年9月22日陕西历史博物馆伪造文物事件”新闻报道**:
   - 在新闻搜索引擎中输入关键词，如“2022年9月22日 陕西历史博物馆 伪造文物 张伟 西安文化遗产保护中心调查”，查看是否有权威媒体报道此事。
2. **查证西安文化遗产保护中心是否发布过相关调查通告**:
   - 访问西安文化遗产保护中心官方网站，查找公告栏或新闻发布区，核实是否有相关通告。
3. **考虑公共媒体报道频率及权威度**:
   - 对比多家主流媒体（如新华社、人民网等）的报道，判断信息的一致性和权威性。

结合这些步骤与提示词，你可以更仔细地核实事件的真实性。",
60,"2024年1月15日,上海市黄浦区民政局的职员王丽因涉嫌在慈善基金中挪用资金,被上海市财政局审计,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2024年1月15日,上海市黄浦区民政局的职员王丽因涉嫌在慈善基金中挪用资金,被上海市财政局审计,请你判断这个案件的真实性:A.真;B.假
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供法律和审计领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解法律和审计领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉法律和审计领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 上海市 黄浦区 民政局 职员 王丽 挪用资金 挪用时间 财政局 审计 2024年1月15日 案件 真实性。
2. 审计报告 来源 分析。
3. 信息来源 事实核实。
```","```markdown
Question: 2024年1月15日,上海市黄浦区民政局的职员王丽因涉嫌在慈善基金中挪用资金,被上海市财政局审计,请你判断这个案件的真实性:A.真;B.假
Role: 你是一名专注于提供法律和审计领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Profile: 你是一名专注于提供法律和审计领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解法律和审计领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉法律和审计领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 上海市 黄浦区 民政局 职员 王丽 挪用资金 挪用时间 财政局 审计 2024年1月15日 案件 真实性。
2. 审计报告 来源 分析。
3. 信息来源 事实核实。
```",
61,"2023年5月18日,北京青年报的独立记者李强因报道政府官员腐败案件,被北京市公安局调查,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2023年5月18日,北京青年报的独立记者李强因报道政府官员腐败案件,被北京市公安局调查,请你判断这个案件的真实性:A.真;B.假
Role: 法律与新闻真实性验证专家
Profile: 你是一名专注于提供法律和新闻真实性验证领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解法律和新闻真实性的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉新闻领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 记者李强、北京青年报、政府腐败案件、2023年5月18日、北京市公安局调查。
2. 查阅新闻报道、核实官方声明、验证相关事件时间线。
3. 新闻报道权威性、司法公正性、信息来源可靠性。
```","要验证这个案件的真实性，请参考以下提示词进行系统调查和分析：

1. **记者李强、北京青年报、政府腐败案件、2023年5月18日、北京市公安局调查**：
   - 核查是否有独立记者名为李强在北京青年报工作。
   - 查找与李强相关的历史报道，尤其是涉及政府腐败案件的报道。
   - 搜索北京市公安局在2023年5月18日是否有公开任何关于李强的调查声明。

2. **查阅新闻报道、核实官方声明、验证相关事件时间线**：
   - 检索可信的新闻源或媒体报道，以确认或否认此事件的发生。
   - 访问北京市公安局官方发布的声明或新闻稿，确认是否有对李强的调查记录。
   - 确认事件的发生时间与相关报道时间是否一致。

3. **新闻报道权威性、司法公正性、信息来源可靠性**：
   - 确认引用来源是否为官方或权威新闻媒体。
   - 评估北京市公安局以及其他参与方在该事件中的司法公正性。
   - 确保所有信息来源都具有一定的可靠性和真实性，而非虚假或未经证实的信息。

通过这些步骤和提示词，可以较为全面地验证该案件的真实性。根据以上提示详细验证并查证可以得出答案是A:真;或B:假。如果没有找到任何官方确认或可信报道，该事件很可能是假的（B）。如果找到有力证据支持该事件，则可以判断为真（A）。",
62,"2023年8月25日,重庆交通广播电台的播音员李晨因在直播节目中揭露地方政府不当行政操作,被重庆市广播电视局调查,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2023年8月25日,重庆交通广播电台的播音员李晨因在直播节目中揭露地方政府不当行政操作,被重庆市广播电视局调查,请你判断这个案件的真实性:A.真;B.假
Role: 该问题案件真实性评估专家
Profile: 你是一名专注于提供案件真实性评估方面信息的专家，旨在根据案件真实性评估生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解案件真实性评估的相关背景和信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉案件真实性评估领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和案件背景信息。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计案件真实性评估初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名案件真实性评估领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1.事实检查：查找2023年8月25日相关报道。
2.独立来源：寻找多家媒体是否有相同报道。
3.官方声明：查看重庆市广播电视局的公告或声明。
```","### Top-3 提示词：

1. **事实检查：查找2023年8月25日相关报道**
   - 解释：确认8月25日当天是否有相关事件或报道，例如在新闻网站、社交媒体、新闻视频等平台上查找信息。
   
2. **独立来源：寻找多家媒体是否有相同报道**
   - 解释：如果多个独立新闻来源报道了同一事件，增加了事件的可信度。尽量寻找全国性或国际性权威媒体的报道。

3. **官方声明：查看重庆市广播电视局的公告或声明**
   - 解释：确保从官方渠道获取关于此事的正式声明或公告，这包括重庆市广播电视局官方网站或其在社交媒体上的官方账号。

### 进一步提示：

- **核验播音员身份**：确认李晨是否在重庆交通广播电台工作以及其过去的职业记录，以帮助核实人物真实性。
- **舆论反应**：查看公众在社交媒体上的讨论和反应，这有助于判断事件的影响范围和真实性。
- **法律和政策背景**：了解重庆市或国家关于媒体监督和采访权的相关法律法规，分析是否存在类似的先例，以便更好地理解事件背景。",
63,"2021年9月17日,武汉华中农业大学生物技术研究中心的研究员王华因研发新型转基因作物,被国家转基因生物安全委员会审查,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2021年9月17日,武汉华中农业大学生物技术研究中心的研究员王华因研发新型转基因作物,被国家转基因生物安全委员会审查,请你判断这个案件的真实性:A.真;B.假
Role: 提供有关“2021年9月17日,武汉华中农业大学生物技术研究中心的研究员王华因研发新型转基因作物,被国家转基因生物安全委员会审查”案件背景和验证信息的专家。
Profile: 你是一名专注于提供关于转基因生物及其安全监管领域信息的专家，旨在核实与转基因技术相关事件的真实性，避免误导性信息传播。
Skills:
1. 深入了解转基因生物的研发和安全监管历史信息。
2. 能够提供简明、准确的背景和验证信息。
3. 熟悉与转基因生物相关的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和转基因生物监管领域的背景。
2. 避免生成可能导致误导的验证信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误提示。
Workflows:
1. 分析用户需求和背景信息。
2. 设计关于此案件验证的初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名转基因生物安全领域的信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 查阅国家转基因生物安全委员会在2021年9月17日发布的公示
2. 调查华中农业大学生物技术研究中心官网及新闻发布
3. 核实国家转基因生物安全委员会审查事件的权威新闻报道
```","根据你的要求，我将提供有关核实“2021年9月17日，武汉华中农业大学生物技术研究中心的研究员王华因研发新型转基因作物，被国家转基因生物安全委员会审查”这一案件的提示词。

Top-3 提示词:

1. **查阅国家转基因生物安全委员会在2021年9月17日发布的公示**
   通过访问国家农业转基因生物安全委员会的官方网站或相关平台，查找2021年9月17日当日或该时间段发布的相关公示文件或公告，以确认是否有关于王华和新型转基因作物审查的信息。

2. **调查华中农业大学生物技术研究中心官网及新闻发布**
   访问华中农业大学生物技术研究中心的官方网站或相关新闻源，查看是否有关于研究员王华及其研发的新型转基因作物的项目公告及其审查信息。

3. **核实国家转基因生物安全委员会审查事件的权威新闻报道**
   查找主流媒体（如新华网、人民网、科学网、新华社等）关于2021年9月17日国家转基因生物安全委员会审查事件的相关报道，以验证该事件的真实性和具体细节。

通过上述步骤，可以有效核实该案件的真实性，并获取相关背景和验证信息。",
64,"2023年11月8日,天津南开大学心理学院的教授李思因在学术研究中伪造实验数据,被中国心理学会撤销其研究成果,请你判断",,"```markdown
Question: 2023年11月8日,天津南开大学心理学院的教授李思因在学术研究中伪造实验数据,被中国心理学会撤销其研究成果,请你判断
Role: 针对学术不端行为问题的检查专家
Profile: 你是一名专注于学术不端行为检查的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解学术不端行为的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉学术领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 研究诚信、学术道德、伪造数据
2. 2023年11月8日、天津南开大学、李思因
3. 数据撤销、撤销研究成果、中国心理学会
```","Top-3提示词:
1. 研究诚信、学术道德、伪造数据
2. 2023年11月8日、天津南开大学、李思因
3. 撤销研究成果、中国心理学会、学术不端行为",
65,"2022年9月22日,西安碑林博物馆的馆长张伟因藏有伪造的古代文物,被陕西省文物局调查,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2022年9月22日,西安碑林博物馆的馆长张伟因藏有伪造的古代文物,被陕西省文物局调查,请你判断这个案件的真实性:A.真;B.假

Role: 你是一名专注于提供历史文物保护和管理领域信息的专家，旨在根据具体问题生成高质量提示词，提升回答的准确性，避免误导性信息。

Profile: 你是一名专注于历史文物保护和管理领域信息的专家，旨在根据具体问题生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解历史文物保护和管理领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 调查日期：2022年9月22日，馆长姓名：张伟，涉事博物馆：西安碑林博物馆，调查机构：陕西省文物局
2. 查阅相关新闻报道和官方公告核实事件
3. 核实信息来源及其可信度
```","基于你描述的案例，我将按照已知的信息生成一些提示词来帮助提升回答的准确性。以下是针对案件真实性判断的Top-3提示词：

1. **关键信息交叉核对**：
    - 调查日期：2022年9月22日
    - 馆长姓名：张伟
    - 涉事博物馆：西安碑林博物馆
    - 调查机构：陕西省文物局
    这些信息交叉核对有助于确保案件背景的一致性。

2. **查阅相关新闻报道和官方公告**：
    - 查找并阅读相关新闻报道，确认是否有关于该事件的细节报道。
    - 检查陕西省文物局或西安碑林博物馆发布的官方声明或公告以验证事件的真实性。

3. **核实信息来源及其可信度**：
    - 检查信息来源及其可信度，确保信息来自可靠的、权威的新闻媒体或相关单位的官方网站。
    - 对比不同时期不同来源的信息，看是否存在一致的记录。

通过这些提示词，你可以更好地确定案件的真实性并避免被误导。",
66,"2024年1月15日,上海市黄浦区民政局的职员王丽因涉嫌挪用慈善基金,被上海市纪委审计,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2024年1月15日,上海市黄浦区民政局的职员王丽因涉嫌挪用慈善基金,被上海市纪委审计,请你判断这个案件的真实性:A.真;B.假
Role: 根据案件具体内容扮演法律案件调查员的角色
Profile: 你是一名专注于提供法律案件相关信息的专家，旨在根据案件生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解法律案件调查的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉法律领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和案件的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计案件领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该案件领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 查证: 审核上海市黄浦区民政局2024年1月15日相关文件。
2. 关键人物: 搜索2024年1月15日之前媒体关于王丽的报道。
3. 法律程序: 上海市纪委审计程序的公开记录。
```","从给定的案件内容来看，我们需要深入调查和验证以确定其真实性。因此，以下是根据案件生成的Top-3提示词：

1. **查证**: 审核上海市黄浦区民政局2024年1月15日相关文件。
   - 说明: 核实当日民政局内部的记录、公告或任何相关文件，以确认是否发生了该事件。

2. **关键人物**: 搜索2024年1月15日之前媒体关于王丽的报道。
   - 说明: 通过查找媒体报道和公开记录，了解王丽是否在上海市黄浦区民政局工作及是否有任何相关的负面新闻。

3. **法律程序**: 上海市纪委审计程序的公开记录。
   - 说明: 查询上海市纪委的公开审计记录，查看是否有关于王丽涉嫌挪用慈善基金的案件登记。

这些提示词将帮助我们更准确地调查案件的真实性，同时避免误导性的信息。进行以上三方面的调查，可以更全面地获取相关证据。",
67,"2023年5月18日,北京日报的记者李强因报道市政府官员贪污案,被北京市公安局调查,请你判断这个案件的真实性:A.真;B.假",,"```markdown
Question: 2023年5月18日,北京日报的记者李强因报道市政府官员贪污案,被北京市公安局调查,请你判断这个案件的真实性:A.真;B.假
Role: 法律与媒体事件分析专家
Profile: 你是一名专注于法律和媒体事件分析的专家，旨在根据法律和现有信息生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解法律与媒体事件的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉法律领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 查证北京市公安局官方网站和北京日报的相关公告，核实事件真实性。
2. 关注涉及贪污案和记者调查的相关法律规定与以往案例。
3. 调查李强记者的报导历史及北京市公安局的公众回应和记录。
```","根据你的需求和背景信息分析，为了判断所提案件的真实性，提供以下Top-3提示词：

1. **查证北京市公安局官方网站和北京日报的相关公告，核实事件真实性**：
   - 访问北京市公安局官方网站，查找2023年5月18日相关公告或新闻发布。
   - 查看北京日报官方网站或联系新闻热线，核实是否有记者李强以及对该事件的官方回应。

2. **关注涉及贪污案和记者调查的相关法律规定与以往案例**：
   - 参考中华人民共和国相关法律法规，如《中华人民共和国刑法》、《新闻法》等，了解记者因报道贪污案被调查的合法性。
   - 调查类似案件的历史记录，以了解北京市公安局处理此类事件的惯例。

3. **调查李强记者的报导历史及北京市公安局的公众回应和记录**：
   - 调查李强记者以往的报道和背景，看他是否有报道类似案件的历史，以评估其被调查的可能性。
   - 查看北京市公安局过往的公众回应和记录，评估是否有类似行动的先例。

这些提示可以帮助你系统性地核实案件的真实性，确保信息准确避免误导。",
