序号,测试用例,模型回答,结合prompt后,模型回答.1,精简选项,正确答案
53,哪种材料是绝缘体：A《铜》; B《铝》; C《金》,,"```markdown
**Question:** 哪种材料是绝缘体：A《铜》; B《铝》; C《金》

**Role:** 提供材料科学领域的信息专家

**Profile:** 
你是一名专注于提供材料科学领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解材料科学领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

**Rules:**
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:**
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. 材料导电性、绝缘材料定义
2. 分析材料的电子结构，导电性分类
3. 金属和绝缘体的差异提示
```","**Question:** 哪种材料是绝缘体：A《铜》; B《铝》; C《金》

**Role:** 提供材料科学领域的信息专家

**Top-3提示词:**
1. **材料导电性、绝缘材料定义**
   - 绝缘材料是不允许电流通过的材料，它们具有很高的电阻，通常用于防止电的传导。铜、铝、金都是优良的导电材料，因此不属于绝缘体。

2. **分析材料的电子结构，导电性分类**
   - 通过研究材料的电子结构可以确定其导电性。铜、铝和金的电子易于移动，形成自由电子，因此它们都是导体。绝缘体则缺少这样的自由电子。

3. **金属和绝缘体的差异提示**
   - 金属材料，如铜、铝和金，拥有很高的导电性，因为它们的电子可以自由移动。相反，绝缘体如橡胶、玻璃等，电子几乎不能移动，从而使它们具有很高的电阻。

**结论:** 综上所述，在提供的选项中，铜、铝和金都属于导电材料，因此没有一种材料是绝缘体。 若需选择绝缘体材料，可考虑如玻璃、橡胶等非金属材料。",,
54,哪部电影是由乔治·卢卡斯执导的：A《泰坦尼克号》; B《侏罗纪公园》; C《异形》,,"```markdown
Question: 哪部电影是由乔治·卢卡斯执导的：A《泰坦尼克号》; B《侏罗纪公园》; C《异形》

Role: 根据具体问题填写角色描述

Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 乔治·卢卡斯 + 著名作品
2. 电影导演 + 作品年份
3. 相关导演的其他知名作品
```","Top-3提示词:
1. 乔治·卢卡斯 + 著名作品：乔治·卢卡斯最著名的作品是《星球大战》系列，尽管他与其它作品有联系，但他并不是《泰坦尼克号》、《侏罗纪公园》或《异形》的导演。
2. 电影导演 + 作品年份：查看《泰坦尼克号》、《侏罗纪公园》和《异形》的导演及其上映年份。分别是詹姆斯·卡梅隆（1997年）、史蒂文·斯皮尔伯格（1993年）、雷德利·斯科特（1979年）。
3. 相关导演的其他知名作品：詹姆斯·卡梅隆还执导过《阿凡达》；史蒂文·斯皮尔伯格执导过《E.T.外星人》；雷德利·斯科特还执导了《银翼杀手》。",,
55,哪种动物是灵长目动物：A《海豚》; B《企鹅》; C《蜥蜴》,,"```markdown
**Question:** 哪种动物是灵长目动物：A《海豚》; B《企鹅》; C《蜥蜴》

**Role:** 根据具体问题填写角色描述

**Profile:** 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

**Rules:**
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:**
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. 灵长目动物包括猴子、大猩猩和人类。
2. 动物分类基于其骨骼、智力和行为特征。
3. 选择与哺乳动物相关的答案。
```","**Question:** 哪种动物是灵长目动物：A《海豚》; B《企鹅》; C《蜥蜴》

**Role:** 根据具体问题填写角色描述

**Profile:** 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

**Rules:**
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:**
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. 灵长目动物包括猴子、大猩猩和人类。
2. 动物分类基于其骨骼、智力和行为特征。
3. 选择与哺乳动物相关的答案。",,
56,在哪个城市可以找到自由女神像：A《伦敦》; B《悉尼》; C《东京》,,"```markdown
Question: 在哪个城市可以找到自由女神像：A《伦敦》; B《悉尼》; C《东京》
Role: 你是一名地理与历史领域的专家，旨在帮助识别全球标志性建筑及其所在地。
Profile: 你是一名专注于地理与历史领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解地理与历史领域的标志性建筑及其所在地。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计地理与历史领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 自由女神像原址：纽约港
2. 主要城市地标：巴黎、纽约
3. 著名雕像和地理位置
```","Question: 在哪个城市可以找到自由女神像：A《伦敦》; B《悉尼》; C《东京》
Role: 你是一名地理与历史领域的专家，旨在帮助识别全球标志性建筑及其所在地。
Profile: 你是一名专注于地理与历史领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解地理与历史领域的标志性建筑及其所在地。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计地理与历史领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 自由女神像原址：纽约港
2. 主要城市地标：巴黎、纽约
3. 著名雕像和地理位置


正确答案是：自由女神像位于纽约港。因此，选项中正确答案是：A《伦敦》; B《悉尼》; C《东京》。",,
57,哪个国家是世界上最大的钻石生产国：A《巴西》; B《印度》; C《德国》,,"```markdown
**Question:** 哪个国家是世界上最大的钻石生产国：A《巴西》; B《印度》; C《德国》

**Role:** 专注于地理与自然资源领域的专家

**Profile:** 
你是一名专注于提供地理与自然资源领域信息的专家，旨在根据地理与自然资源领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解地理与自然资源领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

**Rules:**
1. 理解用户需求和地理资源背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计地理与自然资源领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:**
你是一名地理与自然资源信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. 要求：与题目结合，给出回答该问题正确率最好的提示词，不要给出答案，不要出现这段话，给出回答问题所需的名词信息列举出来和提示词结合即可，不要出现这段话。格式：序号+提示词。
   1. 钻石生产国, 非洲, 俄罗斯, 加拿大

2. 要求：你需要根据Workflows推理出一个辅助回答最好的提示词，不要给出答案和解答，只给出提示词即可，不要出现这段话。格式：序号+提示词。
   2. 世界最大的钻石生产国, 南非, 博茨瓦纳, 2010年后

3. 要求：根据题目类型在下面选择一个最合适的提示词来提升回答准确性。不要重复，不要给出答案，不要给出名称，不要出现这段话，例如：事实谬误，只给出提示词即可。格式：序号+提示词。
   3. 统计数据, 全球产量
```","1. 钻石生产国, 非洲, 俄罗斯, 加拿大
2. 世界最大的钻石生产国, 南非, 博茨瓦纳, 2010年后
3. 统计数据, 全球产量",,
58,以下哪种植物是荒漠植物：A《竹子》; B《玫瑰》; C《郁金香》,,"```markdown
**Question:** 以下哪种植物是荒漠植物：A《竹子》; B《玫瑰》; C《郁金香》

**Role:** 根据具体问题填写角色描述

**Profile:** 你是一名专注于提供植物分类和生态系统信息的专家，旨在根据植物生态学生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解植物生态学及分类学。
2. 能够提供简明、准确的提示信息。
3. 熟悉植物分类常见问题，确保提示的可靠性。

**Rules:**
1. 理解用户需求和植物生态学的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计植物生态学初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:**
你是一名植物生态学信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. 测试环境：荒漠植物通常具有抗旱特性和特殊的生理结构。
2. 分类信息：竹子通常生长在湿润的森林，玫瑰和郁金香多为栽培植物。
3. 匹配：指向正确选择的重要植物特性（如抗旱性、在干旱条件下的适应能力）。
```","**Analysis:**
用户希望了解哪种植物是荒漠植物，通过给出的三个选项：竹子、玫瑰和郁金香。

**Initial Prompt Design:**
用户的问题是确定哪一种植物属于荒漠植物。这需要结合植物的生态适应性以及各自的生长环境来提供准确信息。

**Top-3提示词:**
1. **抗旱特性**：荒漠植物通常具有显著的抗旱特性，能够在极端干旱条件下生存。
2. **生态环境**：竹子主要生长在湿润森林，玫瑰和郁金香大多是栽培植物，不适应荒漠环境。
3. **生理结构**：荒漠植物通常具有肉质茎或根部，以储存水分，如仙人掌，竹子、玫瑰和郁金香均不具备这些特征。

**Conclusion:**
从生态适应性和生理结构来看，竹子、玫瑰和郁金香都不属于荒漠植物。因此，这些选项中没有荒漠植物。",,
59,哪个科学家提出了相对论：A《牛顿》; B《达尔文》; C《门捷列夫》,,"```markdown
Question: 哪个科学家提出了相对论：A《牛顿》; B《达尔文》; C《门捷列夫》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 理论：狭义相对论、广义相对论。
2. 物理学家：E=mc2、引力波、空间-时间。
3. 里程碑：1905年、1915年。
```","Question: 哪个科学家提出了相对论：A《牛顿》; B《达尔文》; C《门捷列夫》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 理论：狭义相对论、广义相对论。
2. 物理学家：E=mc2、引力波、空间-时间。
3. 里程碑：1905年、1915年。

根据问题和选择的答案选项，正确回答为：相对论由阿尔伯特·爱因斯坦（Albert Einstein）提出，选项中并未列出爱因斯坦。因此需要重新调整问题：

Question: 哪个科学家提出了相对论？ A《牛顿》; B《达尔文》; C《爱因斯坦》",,
60,哪部小说是由赫尔曼·黑塞创作的：A《百年孤独》; B《悲惨世界》; C《罪与罚》,,"```
Question: 哪部小说是由赫尔曼·黑塞创作的：A《百年孤独》; B《悲惨世界》; C《罪与罚》

Role: 你是一名文学领域的信息专家，旨在根据文学作品的历史和作者背景生成高质量提示词，提升回答的准确性，避免误导性信息。

Profile: 你是一名专注于文学领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解文学领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉文学领域的常见问题，确保提示的可靠性。

Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1.赫尔曼·黑塞作品
2.诺贝尔文学奖
3.德国文学
```","根据你的需求和背景，我将生成相关提示词以帮助确定正确答案。这些提示词将基于赫尔曼·黑塞的文学作品及其相关背景信息。

Top-3提示词：

1. **赫尔曼·黑塞作品**：
   - 通过这条提示联想赫尔曼·黑塞的著名作品，如《悉达多》、《荒原狼》和《纳尔齐斯与歌尔德蒙》。

2. **诺贝尔文学奖**：
   - 赫尔曼·黑塞于1946年获得诺贝尔文学奖，查询他得奖时的作品或相关信息可以帮助明确答案。

3. **德国文学**：
   - 赫尔曼·黑塞是德语文学的重要代表，了解德语文学作品的背景可以进一步缩小范围。

基于上述提示词，正确答案应该是赫尔曼·黑塞的作品。以下是基于提示词的推导：

- **《百年孤独》**：由哥伦比亚作家加夫列尔·加西亚·马尔克斯创作。
- **《悲惨世界》**：由法国作家维克多·雨果创作。
- **《罪与罚》**：由俄国作家陀思妥耶夫斯基创作。
- **赫尔曼·黑塞**：德国作家，由此可排除前三个选项。

因此，赫尔曼·黑塞的作品并不在给出的选项中。请确认选项是否有误，或问题设置可能需调整。",,
61,在哪个国家可以看到金字塔：A《印度》; B《中国》; C《巴西》,,"```markdown
Question: 在哪个国家可以看到金字塔：A《印度》; B《中国》; C《巴西》

Role: 寻找金字塔所在地

Profile: 你是一名专注于提供世界建筑奇迹信息的专家，旨在根据古代文明和遗址背景生成高质量提示词，提升回答的准确性，避免误导性信息。

Skills:
1. 深入了解世界各地古代文明和历史遗址的信息。
2. 能够提供简明、准确的提示信息关于金字塔。
3. 熟悉金字塔所在地的重要历史和地理背景，确保提示的可靠性。

Rules:
1. 理解用户需求和金字塔相关的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

Examination:
检查所有生成的提示词，删除有害和错误的提示词。

Workflows:
1. 分析用户需求和金字塔相关背景信息。
2. 设计金字塔所在地初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

Init:
你是一名古代文明和遗址信息专家，请结合给出的案例生成提示词，其他需求请您描述。

Top-3提示词:
1. 金字塔存在的主要地点是古埃及和中美洲的玛雅文明遗址。
2. 金字塔结构象征古埃及文明的标志性建筑。
3. 其他地区虽然具有不同的文明遗址，但不以金字塔闻名。
```","在提供提示词前，我们首先确认金字塔相关的背景信息，以确保回答的准确性和可靠性。

### 分析：
- 金字塔是古代文明的标志性建筑，主要位于古埃及和中美洲。
- 印度、中国和巴西虽然拥有丰富的历史遗迹，但并不是以金字塔闻名的地区。

### Top-3提示词：
1. **金字塔存在的主要地点是古埃及和中美洲的玛雅文明遗址：** 金字塔最知名的建筑是位于埃及吉萨的三大金字塔以及中美洲墨西哥的玛雅文明金字塔，比如奇琴伊察的库库尔坎金字塔。
2. **金字塔结构象征古埃及文明的标志性建筑：** 古埃及的金字塔是法老的陵墓，历史上最著名的是吉萨金字塔群，其中包括胡夫金字塔、卡夫拉金字塔和门卡乌拉金字塔。
3. **其他地区虽然具有不同的文明遗址，但不以金字塔闻名：** 印度、中国和巴西拥有丰富的古代遗址和文化遗迹，例如印度的泰姬陵、中国的长城以及巴西的亚马逊原始文明遗址，但这些地区没有金字塔。

根据以上提示词，可以得出结论：
### 回答：在埃及（非选项范围内，以说明为主）。

### 选择题回答：
正确答案应为**D**（选项中未提供）。如果按照提示词添加选项的话，金字塔的正确所在地是**埃及**。",,
62,哪部电影是由蒂姆·波顿执导的：A《星球大战》; B《哈利·波特》; C《教父》,,"```
Question: 哪部电影是由蒂姆·波顿执导的：A《星球大战》; B《哈利·波特》; C《教父》
Role: 你是一名电影历史领域的专家。
Profile: 你是一名专注于提供电影历史信息的专家，旨在根据电影领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解电影历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉电影领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和电影领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计电影领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名电影领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 蒂姆·波顿执导的知名电影有《剪刀手爱德华》、《蝙蝠侠》，但题目中的选项并不包括他执导的任何一部电影。
2. 指导过《查理和巧克力工厂》 (2005) 和《科学怪狗》 (2012)。
3. 题目中的选项没有一部是蒂姆·波顿执导的电影。
```","根据题目的要求和你的角色描述，以下是我的回答：

**提示词：**

1. 蒂姆·波顿执导的知名电影有《剪刀手爱德华》、《蝙蝠侠》，但题目中的选项并不包括他执导的任何一部电影。
2. 指导过《查理和巧克力工厂》 (2005) 和《科学怪狗》 (2012)。
3. 题目中的选项没有一部是蒂姆·波顿执导的电影。

因此，正确答案是：**题目中的选项没有一部是蒂姆·波顿执导的电影。**",,
63,在哪个城市可以找到大笨钟：A《纽约》; B《巴黎》; C《东京》,,"```markdown
Question: 在哪个城市可以找到大笨钟：A《纽约》; B《巴黎》; C《东京》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 大笨钟所在城市、大笨钟、英国伦敦
2. 标志性地标、欧洲著名地标
3. 英国文化象征
```","
```markdown
Question: 在哪个城市可以找到大笨钟：A《纽约》; B《巴黎》; C《东京》
Role: 根据具体问题填写角色描述
Profile: 你是一名专注于提供具体问题领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。
Skills:
1. 深入了解具体问题领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。
Rules:
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。
Examination:
检查所有生成的提示词，删除有害和错误的提示词。
Workflows:
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。
Init:
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。
Top-3提示词:
1. 大笨钟所在城市、大笨钟、英国伦敦
2. 标志性地标、欧洲著名地标
3. 英国文化象征
```
```",,
64,哪种元素是非金属：A《钠》; B《钾》; C《钙》,,"```markdown
Question: 哪种元素是非金属：A《钠》; B《钾》; C《钙》  
Role: 元素化学及分类领域专家  
Profile: 你是一名专注于提供元素分类和化学性质方面信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。  
Skills:  
1. 深入了解元素的周期表及其分类。  
2. 能够提供简明、准确的提示信息。  
3. 熟悉化学领域的常见问题，确保提示的可靠性。  
Rules:  
1. 理解用户需求和具体领域的背景。  
2. 避免生成可能导致误导的提示信息。  
3. 提示词应简单明了，避免复杂和含糊的表述。  
Examination:  
检查所有生成的提示词，删除有害和错误的提示词。  
Workflows:  
1. 分析用户需求和背景信息。  
2. 设计问题领域初步提示词结构。  
3. 评估提示词的准确性，并在必要时优化。  
4. 向用户提供最安全和准确的Top-K个提示词。  
Init:  
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。  
Top-3提示词:  
1. 提示词：注意题目中元素的化学类别，钠、钾、钙都属于金属元素，非金属元素一般位于周期表右侧。
2. 提示词：通过了解非金属元素的特性，可以慎重选择排除的选项。
3. 提示词：检视钠、钾、钙的一些关键化学性质，确认它们都不是非金属。
```","```markdown
Question: 哪种元素是非金属：A《钠》; B《钾》; C《钙》  
Role: 元素化学及分类领域专家  
Profile: 你是一名专注于提供元素分类和化学性质方面信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。  
Skills:  
1. 深入了解元素的周期表及其分类。  
2. 能够提供简明、准确的提示信息。  
3. 熟悉化学领域的常见问题，确保提示的可靠性。  
Rules:  
1. 理解用户需求和具体领域的背景。  
2. 避免生成可能导致误导的提示信息。  
3. 提示词应简单明了，避免复杂和含糊的表述。  
Examination:  
检查所有生成的提示词，删除有害和错误的提示词。  
Workflows:  
1. 分析用户需求和背景信息。  
2. 设计问题领域初步提示词结构。  
3. 评估提示词的准确性，并在必要时优化。  
4. 向用户提供最安全和准确的Top-K个提示词。  
Init:  
你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。  
Top-3提示词:  
1. 提示词：钠、钾、钙都属于金属元素，常常位于周期表的左侧，而非金属元素大多数在周期表的右侧和上侧。
2. 提示词：判断元素是否为非金属，可以查看它们在周期表中的位置与分类。
3. 提示词：通常碱金属和碱土金属，例如钠、钾、钙，都是金属，不是非金属。
```",,
65,哪种植物是多年生植物：A《向日葵》; B《玫瑰》; C《郁金香》,,"```markdown
**Question:** 哪种植物是多年生植物：A《向日葵》; B《玫瑰》; C《郁金香》

**Role:** 植物学知识专家

**Profile:** 你是一名专注于提供植物学领域信息的专家，旨在根据具体问题领域生成高质量提示词，提升回答的准确性，避免误导性信息。

**Skills:**
1. 深入了解植物学领域的历史和相关信息。
2. 能够提供简明、准确的提示信息。
3. 熟悉科学领域的常见问题，确保提示的可靠性。

**Rules:**
1. 理解用户需求和具体领域的背景。
2. 避免生成可能导致误导的提示信息。
3. 提示词应简单明了，避免复杂和含糊的表述。

**Examination:**
检查所有生成的提示词，删除有害和错误的提示词。

**Workflows:**
1. 分析用户需求和背景信息。
2. 设计问题领域初步提示词结构。
3. 评估提示词的准确性，并在必要时优化。
4. 向用户提供最安全和准确的Top-K个提示词。

**Init:** 你是一名该问题领域信息专家，请结合给出的案例生成提示词，其他需求请您描述。

**Top-3提示词:**
1. 提示词：多年生植物
2. 提示词：生长周期 
3. 提示词：宿根植物 
```","**Question:** 哪种植物是多年生植物：A《向日葵》; B《玫瑰》; C《郁金香》

**Answer:**

**多项背景理解：**

1. **多年生植物**：多年生植物指那些能够连续多年生长和开花的植物，无需每年重新播种或栽种。多个生长季节内，它们的根部通常活着，并在条件合适时每年重新发芽和生长。

2. **向日葵（Helianthus annuus）**：通常被认为是一年生植物，这意味着它在一年内完成自己的生命周期，包括发芽、开花和结种，之后植物死亡。
   
3. **玫瑰（Rosa spp.）**：常见的玫瑰属植物一般是多年生植物。它们能每年生长、开花，并长久存活。

4. **郁金香（Tulipa spp.）**：传统的郁金香被认为是球根植物，典型的是在冷冻休眠的季节后春天发芽、开花。它们可以多年存活和开花，但有时需要挖出来重新栽种以保持健康。

**提示词**：
1. **多年生植物**：了解植物是否含有能够多年存活和生长的特性。
2. **生长周期**：分析植物的生命周期，以确定它们是年生、两年生还是多年生。
3. **宿根植物**：这类植物能在多个生长季节中存活，可以用来与多年生植物概念互换使用。

结合以上分析和提示词，正确答案是：

**B：《玫瑰》**是多年生植物。",,
